gamma (deg),h_cruise (m),dx_to_cruise (m),cruise_cond_start_x (m),cruise_cond_end_x (m),dv_y_to_cruise (m/s),dv_x_to_cruise (m/s),v_at_h_cruise (m/s),V_cruise (m/s),a_cruise (m/s^2),density_sample (kg/m^3), velocity_sample(m/s)
5,25000.0,285751.30756903364,757751.3650690333,8815995.586330883,80.07798556818815,915.2955633441587,918.7918437002801,1492.2674483818241,298.4534896763648,1.084023799249549,171.87907906112574
5,30000.0,342901.56908284035,775037.7313550115,8923664.36898543,87.7210381105396,1002.6560536559888,1006.4860368928084,1509.004932894522,301.80098657890437,1.084023799249549,171.87907906112574
5,35000.0,400051.830596647,810758.5013107138,9144241.186929014,94.74955029826015,1082.9923155722302,1087.1291702784097,1543.2375343737592,308.64750687475185,1.084023799249549,171.87907906112574
10,25000.0,141782.04549044275,758817.98292658,8817062.20418843,113.0316976420526,641.0346118778989,650.9236040406685,1492.2674483818241,298.4534896763648,0.9597624065843722,172.86990827728658
10,30000.0,170138.45458853128,776317.6727840673,8924944.310414486,123.82002102331141,702.2182341341886,713.05108229127,1509.004932894522,301.80098657890437,0.9597624065843722,172.86990827728658
10,35000.0,198494.86368661982,812251.7663112789,9145734.451929579,133.7409082539152,758.4823815195892,770.1831948414675,1543.2375343737592,308.64750687475185,0.9597624065843722,172.86990827728658
15,25000.0,93301.27018922192,759843.1587609329,8818087.380022783,137.99496818151727,515.0042324422731,533.171614657863,1492.2674483818241,298.4534896763648,0.8485719265097929,174.55136203842338
15,30000.0,111961.52422706636,777547.8837852908,8926174.52141571,151.16591379044934,564.1588706385338,584.0602407391275,1509.004932894522,301.80098657890437,0.8485719265097929,174.55136203842338
15,35000.0,130621.77826491071,813687.012479373,9147169.698097672,163.27784828562983,609.3612255524935,630.8571620799925,1543.2375343737592,308.64750687475185,0.8485719265097929,174.55136203842338
5,25000.0,285751.30756903364,757751.3650690333,8815995.586330883,80.07798556818815,915.2955633441587,918.7918437002801,1492.2674483818241,298.4534896763648,1.084023799249549,171.87907906112574
5,30000.0,342901.56908284035,775037.7313550115,8923664.36898543,87.7210381105396,1002.6560536559888,1006.4860368928084,1509.004932894522,301.80098657890437,1.084023799249549,171.87907906112574
5,35000.0,400051.830596647,810758.5013107138,9144241.186929014,94.74955029826015,1082.9923155722302,1087.1291702784097,1543.2375343737592,308.64750687475185,1.084023799249549,171.87907906112574
10,25000.0,141782.04549044275,758817.98292658,8817062.20418843,113.0316976420526,641.0346118778989,650.9236040406685,1492.2674483818241,298.4534896763648,0.9597624065843722,172.86990827728658
10,30000.0,170138.45458853128,776317.6727840673,8924944.310414486,123.82002102331141,702.2182341341886,713.05108229127,1509.004932894522,301.80098657890437,0.9597624065843722,172.86990827728658
10,35000.0,198494.86368661982,812251.7663112789,9145734.451929579,133.7409082539152,758.4823815195892,770.1831948414675,1543.2375343737592,308.64750687475185,0.9597624065843722,172.86990827728658
15,25000.0,93301.27018922192,759843.1587609329,8818087.380022783,137.99496818151727,515.0042324422731,533.171614657863,1492.2674483818241,298.4534896763648,0.8485719265097929,174.55136203842338
15,30000.0,111961.52422706636,777547.8837852908,8926174.52141571,151.16591379044934,564.1588706385338,584.0602407391275,1509.004932894522,301.80098657890437,0.8485719265097929,174.55136203842338
15,35000.0,130621.77826491071,813687.012479373,9147169.698097672,163.27784828562983,609.3612255524935,630.8571620799925,1543.2375343737592,308.64750687475185,0.8485719265097929,174.55136203842338
5,25000.0,285751.30756903364,757751.3650690333,8815995.586330883,80.07798556818815,915.2955633441587,918.7918437002801,1492.2674483818241,298.4534896763648,1.084023799249549,171.87907906112574
5,30000.0,342901.56908284035,775037.7313550115,8923664.36898543,87.7210381105396,1002.6560536559888,1006.4860368928084,1509.004932894522,301.80098657890437,1.084023799249549,171.87907906112574
5,35000.0,400051.830596647,810758.5013107138,9144241.186929014,94.74955029826015,1082.9923155722302,1087.1291702784097,1543.2375343737592,308.64750687475185,1.084023799249549,171.87907906112574
10,25000.0,141782.04549044275,758817.98292658,8817062.20418843,113.0316976420526,641.0346118778989,650.9236040406685,1492.2674483818241,298.4534896763648,0.9597624065843722,172.86990827728658
10,30000.0,170138.45458853128,776317.6727840673,8924944.310414486,123.82002102331141,702.2182341341886,713.05108229127,1509.004932894522,301.80098657890437,0.9597624065843722,172.86990827728658
10,35000.0,198494.86368661982,812251.7663112789,9145734.451929579,133.7409082539152,758.4823815195892,770.1831948414675,1543.2375343737592,308.64750687475185,0.9597624065843722,172.86990827728658
15,25000.0,93301.27018922192,759843.1587609329,8818087.380022783,137.99496818151727,515.0042324422731,533.171614657863,1492.2674483818241,298.4534896763648,0.8485719265097929,174.55136203842338
15,30000.0,111961.52422706636,777547.8837852908,8926174.52141571,151.16591379044934,564.1588706385338,584.0602407391275,1509.004932894522,301.80098657890437,0.8485719265097929,174.55136203842338
15,35000.0,130621.77826491071,813687.012479373,9147169.698097672,163.27784828562983,609.3612255524935,630.8571620799925,1543.2375343737592,308.64750687475185,0.8485719265097929,174.55136203842338
5,25000.0,285751.30756903364,757751.3650690333,8815995.586330883,80.07798556818815,915.2955633441587,918.7918437002801,1492.2674483818241,298.4534896763648,1.084023799249549,171.87907906112574
5,30000.0,342901.56908284035,775037.7313550115,8923664.36898543,87.7210381105396,1002.6560536559888,1006.4860368928084,1509.004932894522,301.80098657890437,1.084023799249549,171.87907906112574
5,35000.0,400051.830596647,810758.5013107138,9144241.186929014,94.74955029826015,1082.9923155722302,1087.1291702784097,1543.2375343737592,308.64750687475185,1.084023799249549,171.87907906112574
10,25000.0,141782.04549044275,758817.98292658,8817062.20418843,113.0316976420526,641.0346118778989,650.9236040406685,1492.2674483818241,298.4534896763648,0.9597624065843722,172.86990827728658
10,30000.0,170138.45458853128,776317.6727840673,8924944.310414486,123.82002102331141,702.2182341341886,713.05108229127,1509.004932894522,301.80098657890437,0.9597624065843722,172.86990827728658
10,35000.0,198494.86368661982,812251.7663112789,9145734.451929579,133.7409082539152,758.4823815195892,770.1831948414675,1543.2375343737592,308.64750687475185,0.9597624065843722,172.86990827728658
15,25000.0,93301.27018922192,759843.1587609329,8818087.380022783,137.99496818151727,515.0042324422731,533.171614657863,1492.2674483818241,298.4534896763648,0.8485719265097929,174.55136203842338
15,30000.0,111961.52422706636,777547.8837852908,8926174.52141571,151.16591379044934,564.1588706385338,584.0602407391275,1509.004932894522,301.80098657890437,0.8485719265097929,174.55136203842338
15,35000.0,130621.77826491071,813687.012479373,9147169.698097672,163.27784828562983,609.3612255524935,630.8571620799925,1543.2375343737592,308.64750687475185,0.8485719265097929,174.55136203842338
