rank,A0_m2,L_comb_m,phi,A6_frac,A1_m2,A2_m2,A3_m2,A6_m2,L23_m,L34_m,AR_nozzle,sigma_c,T1_K,P1_kPa,mdot_air,mdot_fuel,FAR,Ma4,T4_K,Tt4_K,P4_kPa,Pt4_kPa,Ma6,V6_ms,P6_kPa,T6_K,Fin_N,Isp_s,Ia_Ns_kg
1,4.5,0.7,0.95,1.6,0.932813752874711,4.05,4.95,7.2,0.42,0.27999999999999997,8.554379118796728,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205533,0.0165938864628833,0.10683778717544701,3163.811804721103,3168.9419003523067,211.46385771411957,213.01805785551034,3.46914715284149,2632.862540255371,2.5050223739090574,1100.4640847708636,177498.3736087451,14285.66179232566,1480.9049412546244
2,4.5,0.9,0.95,1.6,0.932813752874711,4.05,4.95,7.2,0.54,0.36000000000000004,8.55432492427824,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683799354932892,3163.8087739264133,3168.9388850827468,211.4624094007683,213.01660496062468,3.4691413902797743,2632.859721236036,2.505027956013993,1100.4654545346878,177498.0665731195,14285.637081073286,1480.9023795941096
3,4.5,0.5,0.95,1.6,0.932813752874711,4.05,4.95,7.2,0.3,0.2,8.554455180274433,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.988910818620596,0.016593886462883654,0.10683650570713904,3163.800471058688,3168.9304275830905,211.46538462400892,213.0195587535132,3.4691561905104145,2632.8597893665474,2.505006285553689,1100.455616409642,177497.91893763788,14285.625198876754,1480.9011478413347
4,4.5,0.3,0.95,1.6,0.932813752874711,4.05,4.95,7.2,0.18,0.12,8.554520998257441,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683568071064954,3163.796079704489,3168.9259507888482,211.46688319897052,213.021044331373,3.4691636812488027,2632.859736957231,2.5049952326509772,1100.450560587317,177497.8329013309,14285.618274387487,1480.900430022971
5,4.5,0.7,0.95,1.5,0.932813752874711,4.05,4.95,6.75,0.42,0.27999999999999997,8.019730423871932,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205533,0.0165938864628833,0.10683778717544701,3163.811804721103,3168.9419003523067,211.46385771411957,213.01805785551034,3.40772810358363,2616.7362190851904,2.752827924983178,1127.9900390337275,176057.47529657115,14169.693484862613,1468.8832343118477
6,4.5,0.9,0.95,1.5,0.932813752874711,4.05,4.95,6.75,0.54,0.36000000000000004,8.019679616510851,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683799354932892,3163.8087739264133,3168.9388850827468,211.4624094007683,213.01660496062468,3.4077223672746655,2616.733359491053,2.7528341221507158,1127.9914431136524,176057.16490295483,14169.668503347932,1468.8806446349352
7,4.5,0.5,0.95,1.5,0.932813752874711,4.05,4.95,6.75,0.3,0.2,8.01980173150728,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.988910818620596,0.016593886462883654,0.10683650570713904,3163.800471058688,3168.9304275830905,211.46538462400892,213.0195587535132,3.4077370535063576,2616.7335750782822,2.7528102217492405,1127.9813918238601,176057.03012974875,14169.657656350286,1468.8795201947344
8,4.5,0.3,0.95,1.5,0.932813752874711,4.05,4.95,6.75,0.18,0.12,8.01986343586635,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683568071064954,3163.796079704489,3168.9259507888482,211.46688319897052,213.021044331373,3.407744485982381,2616.733597823377,2.7527980327279336,1127.9762266001974,176056.95065543416,14169.651259992075,1468.8788571244045
9,4.5,0.7,0.95,1.4,0.932813752874711,4.05,4.95,6.3,0.42,0.27999999999999997,7.485081728947137,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205533,0.0165938864628833,0.10683778717544701,3163.811804721103,3168.9419003523067,211.46385771411957,213.01805785551034,3.3424757973989387,2598.912045160499,3.0455597089997393,1158.1010717144513,174467.4578117064,14041.723568458021,1455.6173958585457
10,4.5,0.9,0.95,1.4,0.932813752874711,4.05,4.95,6.3,0.54,0.36000000000000004,7.485034308743461,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683799354932892,3163.8087739264133,3168.9388850827468,211.4624094007683,213.01660496062468,3.342470086110087,2598.9091400110333,3.045566645079774,1158.1025138121386,174467.1436733316,14041.698285552673,1455.6147749383533
11,4.5,0.5,0.95,1.4,0.932813752874711,4.05,4.95,6.3,0.3,0.2,7.485148282740128,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.988910818620596,0.016593886462883654,0.10683650570713904,3163.800471058688,3168.9304275830905,211.46538462400892,213.0195587535132,3.342484659666892,2598.9095197837887,3.0455400870936202,1158.092229035544,174467.02313572977,14041.688584283991,1455.613769268687
12,4.5,0.3,0.95,1.4,0.932813752874711,4.05,4.95,6.3,0.18,0.12,7.48520587347526,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683568071064954,3163.796079704489,3168.9259507888482,211.46688319897052,213.021044331373,3.342492034528297,2598.9096261977256,3.045526544256182,1158.0869439941696,174466.95092316688,14041.682772375805,1455.6131667846246
13,4.4,0.7,0.95,1.6,0.9120845583663841,3.9600000000000004,4.840000000000001,7.040000000000001,0.42,0.27999999999999997,8.554374048505505,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.9447128004287748,0.016593886462881503,0.10683785133563074,3163.8117985682834,3168.9419003519215,211.46373051420784,213.01793159283793,3.4687784686905507,2632.7675688219542,2.5054631841865826,1100.6269891150507,173545.63065747643,14284.975746492917,1480.833823186841
14,4.4,0.9,0.95,1.6,0.9120845583663841,3.9600000000000004,4.840000000000001,7.040000000000001,0.54,0.36000000000000004,8.554319182630472,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.944712800428789,0.016593886462881624,0.10683806627725324,3163.808766954469,3168.9388850848222,211.4622653564054,213.0164619796807,3.4687726341008327,2632.7647309676427,2.505468926981866,1100.6283909832896,173545.32930772076,14284.950941639376,1480.8312518232804
15,4.4,0.5,0.95,1.6,0.9120845583663841,3.9600000000000004,4.840000000000001,7.040000000000001,0.3,0.2,8.554450781226988,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.9447128004287606,0.01659388646288138,0.10683656134330219,3163.8004657494052,3168.9304276088133,211.46527426573883,213.01944920755227,3.468787577179638,2632.764836957416,2.505447020096615,1100.6184881711501,173545.18784820335,14284.939297752017,1480.830044774522
16,4.4,0.3,0.95,1.6,0.9120845583663841,3.9600000000000004,4.840000000000001,7.040000000000001,0.18,0.12,8.554517271221147,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.9447128004287606,0.01659388646288138,0.10683572785831429,3163.796074610436,3168.925950214948,211.4667896788161,213.0209514996165,3.46879513942521,2632.764803238565,2.5054358774522156,1100.6133997103407,173545.1053430327,14284.93250654467,1480.829340772659
17,4.5,0.7,0.95,1.3,0.932813752874711,4.05,4.95,5.8500000000000005,0.42,0.27999999999999997,6.950433034022343,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205533,0.0165938864628833,0.10683778717544701,3163.811804721103,3168.9419003523067,211.46385771411957,213.01805785551034,3.2728090484491097,2579.061279875108,3.3956805212796644,1191.2564899254467,172700.08640547562,13899.479616259936,1440.8718576583558
18,4.5,0.9,0.95,1.3,0.932813752874711,4.05,4.95,5.8500000000000005,0.54,0.36000000000000004,6.950389000976071,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683799354932892,3163.8087739264133,3168.9388850827468,211.4624094007683,213.01660496062468,3.272803360367235,2579.0583230697694,3.395688358262344,1191.2579745249434,172699.76805354177,13899.45399423329,1440.8692015835857
19,4.5,0.5,0.95,1.3,0.932813752874711,4.05,4.95,5.8500000000000005,0.3,0.2,6.950494833972977,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.988910818620596,0.016593886462883654,0.10683650570713904,3163.800471058688,3168.9304275830905,211.46538462400892,213.0195587535132,3.2728178238330066,2579.058887323435,3.3956585884491055,1191.2474320803967,172699.66340089357,13899.445571438715,1440.86832844531
20,4.5,0.3,0.95,1.3,0.932813752874711,4.05,4.95,5.8500000000000005,0.18,0.12,6.95054831108417,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683568071064954,3163.796079704489,3168.9259507888482,211.46688319897052,213.021044331373,3.272825142362333,2579.059087734106,3.3956434096959365,1191.2420148293754,172699.59929035063,13899.440411608148,1440.8677935580438
21,4.4,0.7,0.95,1.5,0.9120845583663841,3.9600000000000004,4.840000000000001,6.6000000000000005,0.42,0.27999999999999997,8.01972567047391,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.9447128004287748,0.016593886462881503,0.10683785133563074,3163.8117985682834,3168.9419003519215,211.46373051420784,213.01793159283793,3.407365170799669,2616.639077991722,2.7533107414952296,1128.1550287311711,172136.574287845,14168.992785761664,1468.8105972316725
22,4.4,0.9,0.95,1.5,0.9120845583663841,3.9600000000000004,4.840000000000001,6.6000000000000005,0.54,0.36000000000000004,8.019674233716067,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.944712800428789,0.016593886462881624,0.10683806627725324,3163.808766954469,3168.9388850848222,211.4622653564054,213.0164619796807,3.4073593628875867,2616.63619894569,2.753317115884539,1128.156465639672,172136.26961882535,14168.967707691187,1468.807997545426
23,4.4,0.5,0.95,1.5,0.9120845583663841,3.9600000000000004,4.840000000000001,6.6000000000000005,0.3,0.2,8.019797607400301,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.9447128004287606,0.01659388646288138,0.10683656134330219,3163.8004657494052,3168.9304276088133,211.46527426573883,213.01944920755227,3.407374191149451,2616.636453628396,2.7532929543951163,1128.1463482126655,172136.14082589076,14168.957106422004,1468.8068985783532
24,4.4,0.3,0.95,1.5,0.9120845583663841,3.9600000000000004,4.840000000000001,6.6000000000000005,0.18,0.12,8.019859941769827,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.9447128004287606,0.01659388646288138,0.10683572785831429,3163.796074610436,3168.925950214948,211.4667896788161,213.0209514996165,3.40738169472189,2616.636495684664,2.753280666118809,1128.1411496196408,172136.06478834426,14168.950847581007,1468.8062497635701
25,4.5,0.7,0.9,1.6,0.932813752874711,4.05,4.95,7.2,0.42,0.27999999999999997,8.738475119042734,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.8842313018510168,0.015720524017468106,0.10486668976430508,3086.208339211277,3091.044340110181,211.59590278538627,213.09507124852723,3.4929432287719613,2586.759144897115,2.4222136326381873,1060.586428078943,170772.16069251788,13756.13169991012,1424.786782304458
26,4.5,0.3,0.9,1.6,0.932813752874711,4.05,4.95,7.2,0.18,0.12,8.73862966222426,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.8842313018510026,0.01572052401746799,0.10486468268180632,3086.1833711469963,3091.0191527578363,211.59882270936043,213.09795465546588,3.4929615118144954,2586.75244881748,2.4221811286034827,1060.5689345350931,170771.10305617086,13756.046504613529,1424.7779582298454
27,4.5,0.9,0.9,1.6,0.932813752874711,4.05,4.95,7.2,0.54,0.36000000000000004,8.7384497699525,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.8842313018510026,0.01572052401746799,0.10486673440452665,3086.185959306347,3091.021933676835,211.5945053270209,213.0936654731838,3.492941920213526,2586.7488172627136,2.4222051456047216,1060.578337722245,170770.82930303703,13756.024453102631,1424.7756742519118
28,4.5,0.5,0.9,1.6,0.932813752874711,4.05,4.95,7.2,0.3,0.2,8.738601306401463,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.8842313018509742,0.015720524017467753,0.10486517060328485,3086.162432932111,3090.998230869754,211.59739162074362,213.09652770134772,3.4929597842801865,2586.7426796152267,2.422173794353214,1060.5615952594778,170769.84865300776,13755.94545924966,1424.767492489767
29,4.5,0.7,0.95,1.2,0.932813752874711,4.05,4.95,5.3999999999999995,0.42,0.27999999999999997,6.415784339097546,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205533,0.0165938864628833,0.10683778717544701,3163.811804721103,3168.9419003523067,211.46385771411957,213.01805785551034,3.1979979725477423,2556.756931983108,3.8205253377595545,1228.0432776457612,170718.90101057378,13740.02720030795,1424.3424259728642
30,4.5,0.9,0.95,1.2,0.932813752874711,4.05,4.95,5.3999999999999995,0.54,0.36000000000000004,6.41574369320868,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683799354932892,3163.8087739264133,3168.9388850827468,211.4624094007683,213.01660496062468,3.1979923050342802,2556.7539159176918,3.8205342923414345,1228.0448102732082,170718.57786779787,13740.001192698337,1424.3397299271267
31,4.5,0.5,0.95,1.2,0.932813752874711,4.05,4.95,5.3999999999999995,0.3,0.2,6.415841385205824,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.988910818620596,0.016593886462883654,0.10683650570713904,3163.800471058688,3168.9304275830905,211.46538462400892,213.0195587535132,3.198006662819352,2556.7546896890854,3.8205005767094344,1228.0339809521004,170718.49111105007,13739.994210225583,1424.3390060979789
32,4.5,0.3,0.95,1.2,0.932813752874711,4.05,4.95,5.3999999999999995,0.18,0.12,6.415890748693079,0.6086567914386292,1036.0694325655395,202.2413701519465,119.85804670107203,1.9889108186205817,0.016593886462883536,0.10683568071064954,3163.796079704489,3168.9259507888482,211.46688319897052,213.021044331373,3.198013927219983,2556.7549968347507,3.820483388517441,1228.0284165265346,170718.436126835,13739.989784912359,1424.3385473535177
33,4.4,0.7,0.95,1.4,0.9120845583663841,3.9600000000000004,4.840000000000001,6.16,0.42,0.27999999999999997,7.485077292442316,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.9447128004287748,0.016593886462881503,0.10683785133563074,3163.8117985682834,3168.9419003519215,211.46373051420784,213.01793159283793,3.342118923375464,2598.812548823049,3.0460919997683886,1158.2682443748345,170581.69919151074,14041.007120229127,1455.543126165074
34,4.4,0.9,0.95,1.4,0.9120845583663841,3.9600000000000004,4.840000000000001,6.16,0.54,0.36000000000000004,7.485029284801662,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.944712800428789,0.016593886462881624,0.10683806627725324,3163.808766954469,3168.9388850848222,211.4622653564054,213.0164619796807,3.3421131408957416,2598.8096235321213,3.0460991327392994,1158.2697200973164,170581.39082108502,14040.981737486643,1455.5404948953915
35,4.4,0.5,0.95,1.4,0.9120845583663841,3.9600000000000004,4.840000000000001,6.16,0.3,0.2,7.485144433573614,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.9447128004287606,0.01659388646288138,0.10683656134330219,3163.8004657494052,3168.9304276088133,211.46527426573883,213.01944920755227,3.3421278556914946,2598.810043782068,3.0460722842483037,1158.259367589323,170581.2760474864,14040.972290184134,1455.5395155528047
36,4.4,0.3,0.95,1.4,0.9120845583663841,3.9600000000000004,4.840000000000001,6.16,0.18,0.12,7.485202612318504,0.6086567914386292,1036.0694325655395,202.2413701519465,117.19453455215931,1.9447128004287606,0.01659388646288138,0.10683572785831429,3163.796074610436,3168.925950214948,211.4667896788161,213.0209514996165,3.342135301251916,2598.810170200897,3.046058630776604,1158.2540483751618,170581.20716744376,14040.966620495217,1455.5389278117218
